sigma,gain,specification,moment,mean,monte_carlo_se,mean_ci_low,mean_ci_high,paired_difference_from_re,paired_ci_low,paired_ci_high,paired_draws,rms_path_distance_from_re
1,0.002,paper,sigma_h_over_y,0.494035769454347,0.000405407283056394,0.493241171179557,0.494830367729138,0.000265277364954035,-0.000508810494762115,0.00107615609048821,5000,0.121577024755947
1,0.002,paper,rho_dc,0.0794209456924654,0.00126428451622417,0.0769429480406661,0.0818989433442648,-0.00267842763601098,-0.00302585655262459,-0.00233414362708761,5000,0.121577024755947
1,0.002,paper,rho_dy,-0.000309186249962348,0.00109297637506687,-0.00245141994509342,0.00183304744516872,0.00316118333486417,0.00310522030680781,0.00321657915600121,5000,0.121577024755947
1,0.002,paper,rho_di,-0.0224015403822839,0.00107462230644889,-0.0245078001029238,-0.0202952806616441,0.00711206034377994,0.00701094158843701,0.00721426814003235,5000,0.121577024755947
1,0.002,paper,rho_wage_fe,-0.00161676403079638,0.00116097575170758,-0.00389227650414323,0.000658748442550464,0.00333299758061124,0.00269140895972589,0.00400656219015713,5000,0.121577024755947
1,0.04,RE,sigma_y,1.07096398372715,0.00163339309706199,1.06776253325691,1.07416543419739,0,0,0,5000,0
1,0.04,RE,sigma_c_over_y,0.536425847100945,0.000150752630577418,0.536130371945014,0.536721322256877,0,0,0,5000,0
1,0.04,RE,sigma_i_over_y,2.42610757482661,0.00027385176023008,2.42557082537656,2.42664432427666,0,0,0,5000,0
1,0.04,RE,sigma_h_over_y,0.493770492089393,7.8729361425501e-05,0.493616182540999,0.493924801637787,0,0,0,5000,0
1,0.04,RE,rho_dc,0.0820993733284764,0.0012358622885374,0.0796770832429431,0.0845216634140097,0,0,0,5000,0
1,0.04,RE,rho_dy,-0.00347036958482651,0.00109146555756583,-0.00560964207765555,-0.00133109709199748,0,0,0,5000,0
1,0.04,RE,rho_di,-0.0295136007260639,0.00107121894745241,-0.0316131898630706,-0.0274140115890572,0,0,0,5000,0
1,0.04,RE,rho_wage_fe,-0.00494976161140763,0.00109227855973992,-0.00709062758849788,-0.00280889563431738,0,0,0,5000,0
1,0.04,archive,sigma_y,1.07081318713179,0.00164972047818637,1.06757973499455,1.07404663926904,-0.000150796595357858,-0.000229054042544514,-6.76896659587064e-05,5000,0.0198721364222879
